Mark,WIND,Competitor,Nat,Venue,Date
10.45,12.0,Tuukka HUUSKOLA,FIN,"NikkilÃ¤n keskusurheilukenttÃ¤, Sipoo (FIN)",2020-06-22
10.45,3.0,Gaofei SUO,CHN,Nanjing (CHN),2020-04-29
10.45,5.0,Mbhoni MABUNDA,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",2020-03-14
10.45,13.0,Roshaun ROWE,JAM,"National Stadium, Kingston (JAM)",2020-02-14
10.45,20.0,Sergio MULLINS,RSA,Germiston (RSA),2012-02-25
10.45,19.0,Aaron HILL,USA,"Tempe, AZ (USA)",2012-03-16
10.45,17.0,Fanfan CHARLES,USA,"Provo, UT (USA)",2012-04-07
10.45,3.0,Shernyl BURNS,MNT,Kingston (JAM),2012-04-14
10.45,10.0,Zhenye XIE,CHN,Changzhou (CHN),2012-04-20
10.45,14.0,Bryan CLAY,USA,"Des Moines, IA (USA)",2012-04-25
10.45,6.0,Marvin BONDE,ZIM,"Orlando, FL (USA)",2012-04-28
10.45,6.0,Jerel HILL,USA,"Lafayette, LA (USA)",2012-04-28
10.45,16.0,Shawn CRAWFORD,USA,St-Martin (FRA),2012-05-05
10.45,19.0,Lalonde GORDON,TTO,"New York, NY (USA)",2012-05-12
10.45,17.0,Samuel GORDON,GBR,Cardiff (GBR),2014-05-31
10.45,15.0,Robert SIMMONS,USA,"Dallas, TX (USA)",2014-05-31
10.45,16.0,Wayndale BENNETT,CAN,Windsor (CAN),2014-05-24
10.45,2.0,Mitchel DAVIS,JAM,Kingston (JAM),2015-06-13
10.45,19.0,Christian RASP,GER,Regensburg (GER),2015-06-06
10.45,20.0,Aleksandr SHPAYER,RUS,Yerino (RUS),2015-06-06
10.45,20.0,Rushan ABDULKADEROV,RUS,Yerino (RUS),2015-06-06
10.45,13.0,Diego RIVAS,VEN,Barquisimeto (VEN),2015-05-22
10.45,15.0,Timothy FAUST,USA,"East Lansing, MI (USA)",2015-05-16
10.45,11.0,Shota HARA,JPN,Taipei City (TPE),2015-05-15
10.45,20.0,Tommy RAMDHAN,GBR,Lee Valley (GBR),2015-05-13
10.45,17.0,Cody SCHULZ,USA,"Mobile, AL (USA)",2015-05-08
10.45,16.0,Artur Bruno ROJAS DA SILVA,BOL,Cochabamba (BOL),2015-05-02
10.45,14.0,Devin JENKINS,USA,"Fort Worth, TX (USA)",2015-05-02
10.45,-1.0,Hong MI,CHN,Jinan (CHN),2015-04-29
10.45,2.0,Raymond BOZMANS,USA,"Waco, TX (USA)",2015-04-18
10.45,10.0,Cravon GILLESPIE,USA,"Palo Alto, CA (USA)",2015-04-03
10.45,-7.0,Emile ERASMUS,RSA,Pretoria (RSA),2015-03-07
10.45,2.0,Dharmbir SINGH,IND,Thiruvanthapuram (IND),2015-02-10
10.45,11.0,Harry ADU-MFUM,GHA,Rhede (GER),2008-09-07
10.45,0.0,Tatsuya WAKABAYASHI,JPN,Tokyo (JPN),2008-07-26
10.45,9.0,Roberto DONATI,ITA,Rieti (ITA),2008-07-05
10.45,-13.0,Djilali OUADI,ALG,Algiers (ALG),2008-07-03
10.45,1.0,Marlon ROBINSON,JAM,Kingston (JAM),2008-06-28
10.45,12.0,Ahmed AWESU,NGR,Velletri (ITA),2008-06-22
10.45,11.0,Justin MURDOCK,USA,"Columbus, OH (USA)",2008-06-20
10.45,4.0,Yuji YAMAMOTO,JPN,Hiratsuka (JPN),2015-06-14
10.45,-42.0,Mitchel DAVIS,DMA,Kingston (JAM),2015-06-25
10.45,-19.0,Shernyl BURNS,MNT,Kingston (JAM),2015-06-25
10.45,-3.0,Shane JONES,BAH,Nassau (BAH),2015-06-26
10.45,2.0,Timothy FAUST,USA,"West Lafayette, IN (USA)",2014-05-18
10.45,9.0,Joshua WASHINGTON,USA,"Mesa, AZ (USA)",2014-05-17
10.45,3.0,Darius WATKINS,USA,"Jefferson, GA (USA)",2014-05-09
10.45,12.0,Blake SMITH,USA,"Edwardsville, IL (USA)",2014-05-03
10.45,9.0,Sava BOYADJIEV,USA,"Sacramento, CA (USA)",2014-05-02
10.45,19.0,ConRoy SMITH,USA,"Lynchburg, VA (USA)",2014-05-01
10.45,12.0,Kai YOSHIDA,JPN,Kaga (JPN),2014-04-26
10.45,17.0,Josh MANUEL,USA,"Joplin, MO (USA)",2014-04-25
10.45,16.0,Tremayne ACY,USA,"Baton Rouge, LA (USA)",2014-04-19
10.45,6.0,Chi Ho TSUI,HKG,Hong Kong (HKG),2014-04-13
10.45,-7.0,Suwaibou SANNEH,GAM,"Charlotte, NC (USA)",2014-04-12
10.45,7.0,Andreas BAUMANN,SUI,Hochdorf (SUI),2008-06-14
10.45,17.0,Ja'Karyrus REDWINE,USA,"Gainesville, FL (USA)",2014-04-04
10.45,15.0,Aidan SYERS,GBR,Bedford (GBR),2012-08-25
10.45,14.0,Cheng XU,CHN,Kunshan (CHN),2012-09-22
10.45,18.0,Hiroyuki NAKANO,JPN,Toyokawa (JPN),2012-10-26
10.45,6.0,Vinoj Suranjaya De Silva MUTHUMUNI,SRI,Diyagama (SRI),2015-12-20
10.45,18.0,Soshi ISHIKAWA,JPN,Koshigaya (JPN),2015-10-12
10.45,2.0,Idrissa ADAM,CMR,Brazzaville (CGO),2015-09-13
10.45,-15.0,James ALAKA,GBR,Newham (GBR),2015-08-09
10.45,12.0,Kyle DE ESCOFET,GBR,Bedford (GBR),2015-08-01
10.45,17.0,Bastien ANYLA,FRA,Castres (FRA),2015-07-29
10.45,6.0,TJ LAWRENCE,CAN,Edmonton (CAN),2015-07-03
10.45,-2.0,Shermund ALLSOP,TTO,Port-of-Spain (TTO),2015-06-27
10.45,9.0,Chad WALKER,JAM,Kingston (JAM),2014-03-08
10.45,3.0,Jakub ADAMSKI,POL,Bielsko-Biala (POL),2012-06-15
10.45,3.0,Kristiaan DE WET,RSA,Bloemfontein (RSA),2016-03-18
10.45,9.0,Tahir WALSH,ANT,"Nashville, TN (USA)",2013-03-23
10.45,20.0,Imri PERSIADO,ISR,"Memphis, TN (USA)",2019-04-27
10.45,16.0,Aaron PIPER,USA,"Waco, TX (USA)",2019-04-20
10.45,-1.0,Ronald LEVY,JAM,Kingston (JAM),2019-04-13
10.45,-2.0,Daniel JAMIESON,JAM,"Charlotte, NC (USA)",2019-04-06
10.45,15.0,Jordan BOOKER,USA,"Houston, TX (USA)",2019-04-06
10.45,17.0,Nicholas FERNS,RSA,Pretoria (RSA),2019-02-09
10.45,0.0,Jose ACEVEDO,VEN,"Tempe, AZ (USA)",2009-03-21
10.45,6.0,Ryan CAMPBELL,USA,"Boulder, CO (USA)",2009-03-21
10.45,5.0,Patrick VOSLOO,RSA,Pretoria (RSA),2009-03-27
10.45,15.0,Scott WIMS,USA,"Lincoln, NE (USA)",2009-04-11
10.45,12.0,Suwaibou SANNEH,GAM,Kingston (JAM),2009-04-18
10.45,-12.0,Fabrice COIFFIC,MRI,RÃ©duit (MRI),2009-04-19
10.45,3.0,Bobby STATEN,USA,"Charlotte, NC (USA)",2009-05-03
10.45,-7.0,Greg FRANKLIN,USA,"Murfreesboro, TN (USA)",2009-05-09
10.45,16.0,Maurice MITCHELL,USA,"Atlanta, GA (USA)",2009-05-15
10.45,-4.0,Jiahong LIANG,CHN,Yulin (CHN),2009-05-15
10.45,18.0,Don PITTER,CAN,Toronto (CAN),2009-05-19
10.45,13.0,David WALTERS,ISV,"Hutchinson, KS (USA)",2009-05-23
10.45,13.0,Shaun MURRAY,USA,"Las Vegas, NV (USA)",2009-05-23
10.45,18.0,Marquise GOODWIN,USA,"Waco, TX (USA)",2009-05-23
10.45,18.0,Elvijs MISÄ€NS,LAT,Riga (LAT),2009-05-29
10.45,11.0,Andrey YEPISHIN,RUS,Moskva (RUS),2009-06-06
10.45,11.0,Jerome AVERY,USA,"Walnut, CA (USA)",2009-06-06
10.45,20.0,PaweÅ‚ STEMPEL,POL,Lublin (POL),2009-06-14
10.45,7.0,Evan LEXO,USA,"Worcester, MA (USA)",2019-05-04
10.45,-7.0,Senoj-Jay GIVANS,JAM,Kingston (JAM),2013-03-15
10.45,6.0,Martin OWUSU ANTWI,GHA,"Charlotte, NC (USA)",2019-05-11
10.45,5.0,Quinest BISHOP,USA,"Jonesboro, AR (USA)",2019-05-12
10.45,20.0,Dwain CHAMBERS,GBR,Lee Valley (GBR),2019-07-17
10.45,20.0,Ade ADEWALE,GBR,Lee Valley (GBR),2019-07-17
10.45,20.0,Mohamed DAOUD ABDULLAH,KSA,TÃ¡bor (CZE),2019-07-17
10.45,13.0,Fabian OLBERT,GER,Regensburg (GER),2019-07-07
10.45,4.0,Nathan GILBERT,GBR,Bulle (SUI),2019-07-07
10.45,4.0,Sylvain CHUARD,SUI,Bulle (SUI),2019-07-07
10.45,3.0,Daniel RODRÃGUEZ,ESP,Granada (ESP),2019-07-06
10.45,19.0,Kevin UGO,GER,Mannheim (GER),2019-06-30
10.45,18.0,Rupert Andel PERRY,GUY,Georgetown (GUY),2019-06-29
10.45,3.0,Simon WULFF,GER,Mannheim (GER),2019-06-29
10.45,15.0,Jeremy DODSON,SAM,Townsville (AUS),2019-06-26
10.45,18.0,Andrei Alexandru ZLATAN,ITA,Orvieto (ITA),2019-06-23
10.45,16.0,Giovanni CODRINGTON,NED,Bergen (NOR),2009-06-21
10.45,0.0,Taiju HONGO,JPN,Kyoto (JPN),2019-06-22
10.45,17.0,Kevaughn RATTRAY,JAM,Kingston (JAM),2019-06-20
10.45,20.0,Philip BLUÌˆMEL,GER,Wetzlar (GER),2019-06-15
10.45,20.0,Tijani KEITA,GAM,Getafe (ESP),2019-06-13
10.45,19.0,Kobe VLEMINCKX,BEL,Tilburg (NED),2019-06-10
10.45,18.0,Stanislau DARAHAKUPETS,BLR,Minsk (BLR),2019-06-06
10.45,13.0,Kimihito KAWABATA,JPN,Tottori (JPN),2019-06-02
10.45,2.0,Felix STRAUB,GER,Weinheim (GER),2019-05-25
10.45,16.0,Coby BAILEY,USA,"Gulf Shores, AL (USA)",2019-05-25
10.45,9.0,Philipp CORUCLE,GER,Pforzheim (GER),2019-05-19
10.45,18.0,Chenault Lionel COETZEE,NAM,"Independence Stadium, Windhoek (NAM)",2019-05-18
10.45,16.0,Lucanus ROBINSON,CAN,"Piste Ben Leduc, Montreal (CAN)",2019-05-18
10.45,0.0,Siripol PUNPA,THA,Bangkok (THA),2019-05-18
10.45,17.0,Kemar GREEN,JAM,Kingston (JAM),2019-06-20
10.45,12.0,Arnau MONNE,ESP,Boras (SWE),2019-07-18
10.45,6.0,Delwayne DELANEY,SKN,Basseterre (SKN),2009-06-21
10.45,3.0,Isaac UCHENNA,NGR,Malles Venosta (ITA),2009-06-28
10.45,18.0,James WILLIAMS,GBR,Bedford (GBR),2016-07-30
10.45,-3.0,Youxue MO,CHN,"Houston, TX (USA)",2016-07-23
10.45,13.0,Lawrence TRICE,USA,"Chula Vista, CA (USA)",2016-06-26
10.45,3.0,Mitchel DAVIS,DMA,Port-of-Spain (TTO),2016-06-24
10.45,18.0,Josh COX,GBR,Bedford (GBR),2016-06-18
10.45,2.0,Greg CACKETT,GBR,Lisboa (POR),2016-06-12
10.45,9.0,Ihor BODROV,UKR,FlorÃ¸ (NOR),2016-06-04
10.45,16.0,Aidan SYERS,GBR,Loughborough (GBR),2016-05-22
10.45,9.0,Keene Charles MOTUKISI,BOT,Gaborone (BOT),2016-05-21
10.45,-9.0,Jun XU,CHN,Taiyuan (CHN),2016-05-20
10.45,9.0,Malcolm DOTSON,USA,"Lincoln, NE (USA)",2016-05-14
10.45,14.0,Dante SALES,USA,"Clermont, FL (USA)",2016-05-14
10.45,18.0,Lester MILLER,USA,"Rome, GA (USA)",2016-05-13
10.45,20.0,Binglin ZHU,CHN,Zhengzhou (CHN),2016-05-12
10.45,16.0,Chaz BUTLER,USA,"Spearfish, SD (USA)",2016-05-08
10.45,11.0,Chederick VAN WYK,RSA,Polokwane (RSA),2016-04-29
10.45,-3.0,Stiven VALOIS,COL,MedellÃ­n (COL),2016-04-23
10.45,4.0,Artur Bruno ROJAS DA SILVA,BOL,La Paz (BOL),2016-04-22
10.45,15.0,Duan ASEMOTA,CAN,"Pittsburgh, PA (USA)",2016-04-16
10.45,19.0,Reginald THOMAS,USA,"Walnut, CA (USA)",2016-04-15
10.45,7.0,Fabiano Gilberto DA SILVA,BRA,Sao Bernardo do Campo (BRA),2016-04-09
10.45,15.0,Retshidisitswe MLENGA,RSA,Germiston (RSA),2016-04-01
10.45,17.0,Rubin WILLIAMS,USA,"Palo Alto, CA (USA)",2016-04-01
10.45,12.0,Chauncy SMART,USA,"Gainesville, FL (USA)",2016-04-01
10.45,4.0,Jon OKOYE,NGR,"Athens, GA (USA)",2016-03-19
10.45,-1.0,Takashi OISHI,JPN,Suita (JPN),2016-08-04
10.45,5.0,Seiya KUSANO,JPN,Osaka (JPN),2016-09-25
10.45,12.0,Ikuto SAKATA,JPN,Nagoya (JPN),2016-10-22
10.45,14.0,Ivory WILLIAMS,USA,"Lawrence, KS (USA)",2013-04-20
10.45,18.0,Francesco SCUDERI,ITA,Alcamo (ITA),2009-07-04
10.45,16.0,Lee PROWELL,GUY,"New York, NY (USA)",2009-07-11
10.45,0.0,Trey FRANKS,USA,"Houston, TX (USA)",2009-07-11
10.45,4.0,Eric Sigaki MARTINS DE JESUS,BRA,SÃ£o Paulo (BRA),2009-07-25
10.45,2.0,Christophe BONNET,FRA,Castres (FRA),2009-08-05
10.45,2.0,Trey HARDEE,USA,"Olympiastadion, Berlin (GER)",2009-08-19
10.45,15.0,Hiroshi DOTE,JPN,Tokyo (JPN),2009-09-04
10.45,12.0,Miguel WILKEN,ARG,Rosario (ARG),2009-10-10
10.45,1.0,Wei-Chen YI,TPE,Hong Kong (HKG),2009-12-12
10.45,14.0,Antonio ALKANA,RSA,Parow (RSA),2016-02-13
10.45,7.0,Jan-Christopher SCHULTE,GER,Bottrop (GER),2009-06-26
10.45,3.0,Jan VELEBA,CZE,ZlÃ­n (CZE),2013-08-17
10.45,7.0,Iordanis ROUSSAKIS,GRE,Sofia (BUL),2013-06-29
10.45,18.0,Daouda DIAGNE,SEN,Dakar (SEN),2013-06-22
10.45,14.0,Phillip HAYLE,CAN,Toronto (CAN),2013-06-15
10.45,1.0,Daniil KOVALENKO,RUS,Yerino (RUS),2013-06-15
10.45,3.0,Ronald POGNON,FRA,Besancon (FRA),2013-06-15
10.45,20.0,Justin ANDERSON,USA,"Montverde, FL (USA)",2013-06-01
10.45,13.0,Jakub ADAMSKI,POL,Gdansk (POL),2013-06-01
10.45,8.0,Oluwasegun MAKINDE,CAN,Windsor (CAN),2013-05-19
10.45,20.0,Tom BLOCKER,USA,"Los Angeles, CA (USA)",2013-05-11
10.45,9.0,Akiyuki HASHIMOTO,JPN,Hiroshima (JPN),2013-04-28
10.45,2.0,Eusebio CÃCERES,ESP,Alcobendas (ESP),2013-07-27
10.45,6.0,Pavel MASLÃK,CZE,Brno (CZE),2019-07-26
10.45,6.0,Terrell POSADA,USA,"Muncie, IN (USA)",2019-05-10
10.45,-1.0,Jaeseong LEE,KOR,"Jamsil, Seoul (KOR)",2019-07-27
10.45,19.0,Chakir MACHMOUR,MAR,Kenitra (MAR),2018-07-24
10.45,16.0,James LINDE,CAN,Coquitlam (CAN),2018-07-14
10.45,18.0,Mishal Khalifa AL MUTAIRI,KUW,Amman (JOR),2018-07-08
10.45,17.0,Marvin POPOOLA,GBR,Bedford (GBR),2018-07-07
10.45,0.0,Aleksey ZAVALIY,RUS,Chelyabinsk (RUS),2018-07-06
10.45,9.0,Lodovico CORTELAZZO,ITA,Nembro (ITA),2018-07-05
10.45,17.0,Federico CATTANEO,ITA,Bressanone (ITA),2019-07-27
10.45,20.0,Bastien ANYLA,FRA,Bonneuil-sur-Marne (FRA),2018-06-20
10.45,16.0,Kotaro IWASAKI,JPN,Hiratsuka (JPN),2018-06-16
10.45,2.0,Yi-Ching WEI,TPE,Hiratsuka (JPN),2018-06-15
10.45,-4.0,Xingqiang TANG,CHN,Guiyang (CHN),2018-06-15
10.45,-1.0,Arturo RAMÃREZ,VEN,Cochabamba (BOL),2018-06-06
10.45,-4.0,Haiyang XU,CHN,"Pomona, CA (USA)",2018-06-02
10.45,6.0,Tai-Sheng WEI,TPE,Taipei City (TPE),2018-05-25
10.45,11.0,Widchard GUERVIL,USA,"Charlotte, NC (USA)",2018-05-24
10.45,11.0,Gal ARAD,ISR,Haifa (ISR),2018-05-22
10.45,15.0,Leroy CAIN,GBR,Ellwangen (GER),2018-05-19
10.45,1.0,Kadrin WILLIAMS,USA,"El Dorado, KS (USA)",2018-05-18
10.45,12.0,Lorenzo PATTA,ITA,Sassari (ITA),2018-05-12
10.45,20.0,Daniel CLARKE,JAM,"Tulsa, OK (USA)",2018-05-12
10.45,19.0,Ancuiam LOPES,POR,Lisboa (POR),2018-05-12
10.45,-1.0,Jean-Pierre BERTRAND,FRA,Angers (FRA),2018-05-06
10.45,17.0,Justin FLYNN,USA,"Easton, PA (USA)",2018-05-05
10.45,11.0,Stadrian TAYLOR,USA,"San Angelo, TX (USA)",2018-05-05
10.45,2.0,Shou-Po YEH,TPE,Taoyuan (TPE),2018-04-29
10.45,15.0,Fabio DE OLIVEIRA,BRA,JaraguÃ¡ (BRA),2018-07-28
10.45,14.0,Daichi NOGAWA,JPN,Hiroshima (JPN),2018-04-28
10.45,12.0,Ryuya OKADA,JPN,Nagoya (JPN),2018-10-20
10.45,11.0,Ailson DA SILVA FEITOSA,BRA,Sao Bernardo do Campo (BRA),2017-03-22
10.45,-6.0,Blake HERIOT,USA,"Austin, TX (USA)",2013-04-13
10.45,18.0,Michael OLSEN,GBR,Scotstoun (GBR),2017-08-09
10.45,15.0,Milo SKUPIN-ALFA,GER,Mannheim (GER),2017-07-01
10.45,6.0,Jeremy LEROUX,FRA,Nice (FRA),2017-06-18
10.45,20.0,DÃ¡niel SZABÃ“,HUN,Budapest (HUN),2017-06-17
10.45,4.0,Deivi DIAZ LUNA,COL,MedellÃ­n (COL),2017-06-10
10.45,13.0,Romario WILLIAMS,JAM,Kingston (JAM),2017-06-03
10.45,-4.0,Ryan HALL,USA,"Sacramento, CA (USA)",2017-05-20
10.45,19.0,Qunicy FLOWERS,USA,"Amarillo, TX (USA)",2017-05-14
10.45,14.0,Craig WILLIAMS,USA,"Austin, TX (USA)",2017-05-13
10.45,-9.0,Caleb WILLIAMS,USA,"Princeton, NJ (USA)",2017-05-12
10.45,18.0,Zach JOHNSON,USA,"Logan, UT (USA)",2017-05-12
10.45,1.0,Asani HAMPTON,USA,"Yucaipa, CA (USA)",2017-05-04
10.45,1.0,Soki NAKAGAWA,JPN,Toin (JPN),2017-04-30
10.45,10.0,Jamal KEMP,USA,"San Marcos, TX (USA)",2017-04-29
10.45,3.0,Juan Aroldi SANTOS,DOM,MedellÃ­n (COL),2017-04-29
10.45,13.0,Nick ALEXANDER,USA,"Waco, TX (USA)",2017-04-28
10.45,0.0,Shivnarine SMALLING,JAM,Kingston (JAM),2016-03-18
10.45,-5.0,Masafumi NAOKI,JPN,Izumo (JPN),2017-04-22
10.45,20.0,Keenan BROCK,USA,"Auburn, AL (USA)",2017-04-22
10.45,0.0,Xavier MATTHEWS,USA,"Montevallo, AL (USA)",2017-04-20
10.45,3.0,CÃ©sar RAMÃREZ,MEX,Ciudad de MÃ©xico (MEX),2017-04-15
10.45,7.0,Terrell SMITH,USA,"Tempe, AZ (USA)",2017-04-08
10.45,18.0,Filipe Gama DE PAULA CORDEIRO,BRA,Brasilia (BRA),2017-04-01
10.45,4.0,Terrence HORNE,USA,"Gainesville, FL (USA)",2017-03-30
10.45,10.0,Dushawn MIGHTY,JAM,Montego Bay (JAM),2017-02-11
10.45,19.0,Ahmed ALI,SUD,"Baton Rouge, LA (USA)",2018-04-28
10.45,-13.0,Krishna KUMAR RANE,IND,Guwahati (IND),2018-06-28
10.45,10.0,Tyson SPEARS,USA,"Gainesville, FL (USA)",2017-04-28
10.45,-11.0,Ryiem ROBERTSON,JAM,Kingston (JAM),2018-03-23
10.45,2.0,Kimani GARDNER,JAM,Kingston (JAM),2018-03-22
10.45,7.0,Taegeon PARK,KOR,"Olympic Stadium, Jamsil, Seoul (KOR)",2019-10-06
10.45,2.0,Kojo MUSAH,DEN,"Stade CharlÃ©ty, Paris (FRA)",2019-08-24
10.45,12.0,Mario LÃ“PEZ,ESP,Granada (ESP),2019-08-10
10.45,-3.0,Hong MI,CHN,Shenyang (CHN),2019-08-02
10.45,7.0,Spenser SCHMIDT,USA,"Tucson, AZ (USA)",2018-04-28
10.45,18.0,Gregory TURNER,USA,"San Mateo, CA (USA)",2018-03-23
10.45,19.0,Otilio ROSA,ARG,ConcepciÃ³n del Uruguay (ARG),2018-03-25
10.45,19.0,Jamiel TRIMBLE,USA,"Boulder, CO (USA)",2018-03-17
10.45,7.0,Hong MI,CHN,Zhaoqing (CHN),2018-04-10
10.45,18.0,Demetri KEATON,USA,"Austin, TX (USA)",2018-03-30
10.45,15.0,Lateef BIRKS,USA,"Humble, TX (USA)",2018-04-27
10.45,17.0,Jerimy STRAINGE,USA,"Babson Park, FL (USA)",2018-04-21
10.45,7.0,Elijah DRYER,USA,"Clinton, MS (USA)",2018-04-21
10.45,7.0,Josiah BROOKS,USA,"Clinton, MS (USA)",2018-04-21
10.45,9.0,Carrington AKOSA,USA,"Princeton, NJ (USA)",2018-04-21
10.45,4.0,Charles DOBSON,GBR,Loughborough (GBR),2019-07-29
10.45,11.0,Phemelo MATLHABE,RSA,"Iowa City, IA (USA)",2018-04-12
10.46,18.0,Arnaldo ABRANTES,POR,Maia (POR),2016-06-25
10.46,9.0,Bastien MOUTHON,SUI,Basel (SUI),2016-05-07
10.46,8.0,Cruz Rolando PALACIOS,HON,Rio de Janeiro (BRA),2016-05-14
10.46,13.0,Andrew ADIGHIBE,USA,"Mansfield, PA (USA)",2016-05-14
10.46,15.0,William BUCKLEY,USA,"Lafayette, LA (USA)",2016-05-15
10.46,17.0,Giovanni GALBIERI,ITA,Savona (ITA),2016-05-25
10.46,4.0,Jermey HICKS,USA,"Jacksonville, FL (USA)",2016-05-27
10.46,13.0,Winston LEE,USA,"Jacksonville, FL (USA)",2016-05-27
10.46,10.0,Gaetano DI FRANCO,ITA,Gavardo (ITA),2016-05-29
10.46,12.0,Avery HUBBARD,USA,"Atlanta, GA (USA)",2016-05-29
10.46,0.0,James ALAKA,GBR,Lee Valley (GBR),2016-06-11
10.46,20.0,Ronnie WELLS,GBR,Bedford (GBR),2016-06-18
10.46,-3.0,Erik HAGBERG,SWE,Oslo (NOR),2016-06-23
10.46,3.0,Giovanni CODRINGTON,NED,Rhede (GER),2016-06-24
10.46,-7.0,Marc BURNS,TTO,Port-of-Spain (TTO),2016-06-25
10.46,3.0,Isaac NTIAMOAH,AUS,Sydney (AUS),2010-03-27
10.46,14.0,Mark ORMROD,AUS,Perth (AUS),2010-03-26
10.46,18.0,Keith SHEEHY,AUS,Perth (AUS),2010-03-26
10.46,5.0,Gautier DAUTREMER,FRA,Aubagne (FRA),2016-07-16
10.46,10.0,David ALEJANDRO,ESP,CÃ¡ceres (ESP),2016-06-29
10.46,20.0,Sibusiso MATSENJWA,SWZ,Bloemfontein (RSA),2016-05-06
10.46,19.0,Vladimir VALENCIA,COL,Cali (COL),2016-06-25
10.46,0.0,Mauro TRIANA,ESP,Toledo (ESP),2016-06-25
10.46,19.0,Isak WASHINGTON,USA,"El Paso, TX (USA)",2016-04-30
10.46,14.0,Stephen MICHEL,USA,"Albuquerque, NM (USA)",2010-05-15
10.46,19.0,Xandre BLAKE,JAM,Kingston (JAM),2016-04-16
10.46,19.0,Prince KWIDAMA,AHO,Leiden (NED),2010-06-12
10.46,8.0,Andre WELLINGTON,JAM,Kingston (JAM),2010-06-26
10.46,11.0,Vitaliy KORZH,UKR,Donetsk (UKR),2010-07-01
10.46,9.0,Izzet SAFER,TUR,Novo Mesto (SLO),2010-07-13
10.46,4.0,Warren FRASER,BAH,"Croix-Bleue Medavie Stadium, Moncton (CAN)",2010-07-20
10.46,-13.0,Mohd NOOR IMRAN,MAS,Singapore (SGP),2010-07-25
10.46,13.0,Eric Sigaki MARTINS DE JESUS,BRA,SÃ£o Paulo (BRA),2010-07-31
10.46,16.0,Takuya KITAMURA,JPN,Hiroshima (JPN),2010-08-21
10.46,17.0,Naohito YOSHINAKA,JPN,Chiba (JPN),2010-10-01
10.46,-11.0,Idrissa ADAM,CMR,Nice (FRA),2013-09-10
10.46,20.0,Ricardo MÃ¡rio DE SOUZA,BRA,SÃ£o Paulo (BRA),2013-09-21
10.46,9.0,Jamiel TRIMBLE,USA,"Des Moines, IA (USA)",2016-04-29
10.46,20.0,Jamison JORDAN,USA,"Clovis, CA (USA)",2010-06-04
10.46,1.0,Wei-Chen YI,TPE,Taipei City (TPE),2010-05-28
10.46,-1.0,Justin WALKER,USA,"Greensboro, NC (USA)",2010-05-27
10.46,7.0,Bernard WILLIAMS,USA,BelÃ©m (BRA),2010-05-19
10.46,13.0,Man Lok WO,HKG,Hong Kong (HKG),2010-05-16
10.46,20.0,Shintaro HORIE,JPN,Osaka (JPN),2010-05-15
10.46,8.0,Robin EREWA,GER,Wetzlar (GER),2012-07-21
10.46,13.0,Kamil MASZTAK,POL,Bialogard (POL),2012-07-07
10.46,8.0,Isaac NTIAMOAH,AUS,Canberra (AUS),2016-02-06
10.46,12.0,Micheal MCGRUDER,USA,"Little Rock, AR (USA)",2016-04-09
10.46,1.0,Hlapho RANTABANE,RSA,Stellenbosch (RSA),2016-04-15
10.46,15.0,Seiya KUSANO,JPN,Gifu (JPN),2012-10-06
10.46,-11.0,Tyrese COOPER,USA,"Kissimmee, FL (USA)",2016-07-16
10.46,16.0,Carlin ISLES,USA,"Ashland, OH (USA)",2010-04-24
10.46,18.0,Raphael MÃœLLER,GER,Mannheim (GER),2016-07-29
10.46,7.0,Yannick LESOURD,FRA,Bonneuil-sur-Marne (FRA),2013-06-07
10.46,8.0,Pierre CHALUS,FRA,Dubnica nad VÃ¡hom (SVK),2012-05-27
10.46,11.0,Dariusz KUÄ†,POL,FlorÃ¸ (NOR),2013-06-08
10.46,15.0,Rikki FIFTON,GBR,Kalamata (GRE),2012-06-02
10.46,11.0,Hirotaka TAGUCHI,JPN,Marugame (JPN),2010-06-05
10.46,0.0,Shameer MON,IND,Bengaluru (IND),2010-06-05
10.46,0.0,Vyacheslav MURAVYEV,KAZ,Bengaluru (IND),2010-06-05
10.46,11.0,Teddy TINMAR,FRA,Regensburg (GER),2010-06-05
10.46,13.0,Daiki GOTO,JPN,Osaka (JPN),2012-06-08
10.46,10.0,Tran HOWELL,USA,"Columbia, MO (USA)",2010-05-15
10.46,-5.0,Keon MONTGOMERY,USA,"Atlanta, GA (USA)",2010-05-14
10.46,8.0,Ramaan ANSLEY,JAM,"Colts Neck, NJ (USA)",2013-06-08
10.46,16.0,Elvijs MISÄ€NS,LAT,Riga (LAT),2013-05-30
10.46,8.0,Justin FRAZIER,USA,"Colts Neck, NJ (USA)",2013-06-08
10.46,1.0,Fred Ovie AGBAJE,NGR,Calabar (NGR),2013-06-20
10.46,14.0,Darrel BROWN,TTO,Port-of-Spain (TTO),2013-06-21
10.46,13.0,Harold VULGAIRE,FRA,Montgeron (FRA),2013-06-22
10.46,5.0,Åukasz GAUZA,POL,ToruÅ„ (POL),2013-07-19
10.46,5.0,Robert KUBACZYK,POL,ToruÅ„ (POL),2013-07-19
10.46,18.0,Aykut AY,TUR,Ankara (TUR),2013-07-31
10.46,-2.0,Aniruddha GUJAR,IND,Ranchi (IND),2013-09-08
10.46,15.0,Musa DEJI,NGR,Lagos (NGR),2010-05-01
