Mark,WIND,Competitor,Nat,Venue,Date
11.73,17.0,Tamaira WILLIAMS,USA,"Austin, TX (USA)",2015-05-28
11.73,6.0,Anastasiya FEDYAYEVA,RUS,Sochi (RUS),2015-05-28
11.73,2.0,Maribel Vanessa CAICEDO,ECU,Morelia (MEX),2015-06-06
11.73,-2.0,Yulia RAKHMANOVA,KAZ,Almaty (KAZ),2015-07-25
11.73,20.0,Eva HOVENKAMP,NED,Eskilstuna (SWE),2015-07-16
11.73,-8.0,Twanisha TERRY,USA,"Greensboro, NC (USA)",2015-06-20
11.73,-8.0,Khianna GRAY,USA,"Lexington, KY (USA)",2015-05-23
11.73,7.0,Shamelle PLESS,CAN,"Irvine, CA (USA)",2015-05-02
11.73,-7.0,Brittany THOMAS,USA,"Columbia, MO (USA)",2015-05-02
11.73,8.0,Mayumi WATANABE,JPN,Hiroshima (JPN),2015-04-19
11.73,-4.0,Jessica Carolina ALVES DOS REIS,BRA,Sao Bernardo do Campo (BRA),2016-04-22
11.73,12.0,Deja JONES,USA,"Coral Gables, FL (USA)",2016-04-09
11.73,20.0,Brittany BROWN,USA,"Gainesville, FL (USA)",2016-04-01
11.73,3.0,Sabria HADLEY,USA,"Atlanta, GA (USA)",2016-03-26
11.73,7.0,Dominique KEEL,USA,"Los Angeles, CA (USA)",2016-03-22
11.73,5.0,Dulaini DÃ©bora ODELIN,CUB,La Habana (CUB),2016-03-18
11.73,13.0,Janie O'CONNOR,USA,"Knoxville, TN (USA)",2018-04-13
11.73,19.0,Britney WATTLEY,IVB,"Baltimore, MD (USA)",2013-04-20
11.73,13.0,Nina GRAMBLING,USA,"Columbus, OH (USA)",2013-04-20
11.73,-1.0,Elly GRAF,AUS,Sydney (AUS),2013-04-13
11.73,13.0,Saeko OKAYAMA,JPN,"Norwalk, CA (USA)",2013-03-02
11.73,18.0,Monica BRENNAN,AUS,Melbourne (AUS),2013-01-20
11.73,10.0,Shanique WALKER,USA,"Jacksonville, FL (USA)",2015-04-10
11.73,20.0,Jamie ASHCROFT,CAN,"Azusa, CA (USA)",2015-04-17
11.73,18.0,Jada MASSIE,USA,"Jacksonville, FL (USA)",2016-05-04
11.73,4.0,Veronica Shanti PEREIRA,SGP,Singapore (SGP),2018-04-11
11.73,17.0,Cardine COPELAND,JAM,"Pueblo, CO (USA)",2013-05-23
11.73,5.0,Hannah WALLER,USA,"San Diego, CA (USA)",2018-03-24
11.73,18.0,Niamh WHELAN,IRL,Dublin (IRL),2014-05-25
11.73,5.0,Ioana Teodora GHEORGHE,ROU,BucureÅŸti (ROU),2014-05-24
11.73,1.0,Fanny CHALAS,DOM,Ponce (PUR),2014-05-17
11.73,12.0,Rachel MISHER,USA,"Baton Rouge, LA (USA)",2014-05-09
11.73,11.0,Dominique BULLOCK,USA,"Hollywood, FL (USA)",2014-04-24
11.73,9.0,Erica ALEXANDER,USA,"Walnut, CA (USA)",2014-04-18
11.73,1.0,Tebogo MAMATHU,RSA,Johannesburg (RSA),2014-04-14
11.73,10.0,Jhordan HUNTER,USA,"Oxford, MS (USA)",2014-03-22
11.73,15.0,Janina KÃ–LSCH,GER,Weinheim (GER),2014-05-31
11.73,17.0,Kayla WILSON,USA,"San Diego, CA (USA)",2014-03-19
11.73,14.0,Sabrina Maria MONTEIRO PEREIRA,BRA,Sao Bernardo do Campo (BRA),2018-08-18
11.73,20.0,Katy WYPER,GBR,Grangemouth (GBR),2018-08-11
11.73,9.0,Katarzyna SOKÃ“LSKA,POL,Lublin (POL),2018-07-20
11.73,3.0,Laetitia HERMET,SUI,Aix-les-Bains (FRA),2018-06-30
11.73,13.0,Elin Ã–STLUND,SWE,"Olympiastadion, Stockholm (SWE)",2019-08-24
11.73,4.0,Fanette HUMAIR,SUI,Bassecourt (SUI),2019-08-17
11.73,-19.0,Mikele BARBER,USA,"Drake Stadium, Des Moines, IA (USA)",2019-07-25
11.73,15.0,Jolene JACOBS,NAM,Rotterdam (NED),2019-07-13
11.73,0.0,Kim Phung LUU,VIE,Singapore (SGP),2015-06-09
11.73,11.0,Natalliah WHYTE,JAM,Kingston (JAM),2014-05-31
11.73,17.0,Leya BUCHANAN,CAN,Mississauga (CAN),2014-06-06
11.73,-15.0,Agnes OSAZUWA,NGR,Warri (NGR),2014-06-13
11.73,20.0,Sayaka SHIBAYAMA,JPN,Hiratsuka (JPN),2017-06-10
11.73,8.0,CyrÃ©na SAMBA-MAYELA,FRA,Antony (FRA),2017-06-17
11.73,3.0,Alexis LOVE,USA,Ninove (BEL),2017-07-15
11.73,17.0,Catherine MCMANUS,IRL,Tullamore (IRL),2017-07-23
11.73,12.0,Marisa VAZ CARVALHO,POR,Lisboa (POR),2017-07-29
11.73,0.0,Veronica Shanti PEREIRA,SGP,Kuala Lumpur (MAS),2017-08-22
11.73,-2.0,Qun LIU,CHN,Tianjin (CHN),2017-09-02
11.73,19.0,Sayaka ADACHI,JPN,Fukui (JPN),2017-09-08
11.73,2.0,Shyvonne ROXBOROUGH,CAN,Toronto (CAN),2016-06-25
11.73,0.0,Alexandra TOTH,AUT,Salzburg (AUT),2016-07-30
11.73,5.0,Panagiota VENIERI,GRE,Larisa (GRE),2016-07-30
11.73,20.0,Malin STRÃ–M,SWE,Sollentuna (SWE),2016-08-26
11.73,10.0,Riley DAY,AUS,Canberra (AUS),2016-12-03
11.73,18.0,Brianna BEAHAN,AUS,Perth (AUS),2014-12-18
11.73,8.0,Susanna KALLUR,SWE,Umea (SWE),2014-08-01
11.73,18.0,Ebony MCCLENDON,USA,"Des Moines, IA (USA)",2014-07-30
11.73,11.0,Ewelina POPOWSKA,POL,Szczecin (POL),2014-07-29
11.73,10.0,Sabrina HÃ„FELE,GER,Ulm (GER),2014-07-26
11.73,16.0,Elisavet PESIRIDOU,GRE,Trikala (GRE),2014-06-14
11.73,11.0,Anna OBRADORS BARO,ESP,Tarragona (ESP),2019-06-29
11.73,14.0,V'Alonee ROBINSON,BAH,Gold Coast (AUS),2018-04-08
11.73,12.0,Carla ANDRE,FRA,Chateauroux (FRA),2019-06-29
11.73,10.0,AkvilÄ— ANDRIUKAITYTÄ–,LTU,Ogre (LAT),2019-06-15
11.73,20.0,Brittany BURKITT,AUS,Canberra (AUS),2017-02-17
11.73,0.0,Junine GOODISON,JAM,Kingston (JAM),2017-02-11
11.73,10.0,Malai WALKER,USA,"Winston Salem, NC (USA)",2011-03-19
11.73,15.0,Tara THOMAS,USA,"El Paso, TX (USA)",2011-03-26
11.73,0.0,Judy EKEH UDOCHI,NGR,Pavia (ITA),2011-05-08
11.73,17.0,Kiersten BREWER,USA,"Austin, TX (USA)",2011-05-14
11.73,6.0,MaÅ‚gorzata KOÅDEJ,POL,Bydgoszcz (POL),2011-06-03
11.73,20.0,Jessica PERIS,AUS,Canberra (AUS),2017-02-17
11.73,17.0,Ky WESTBROOK,USA,"Eugene, OR (USA)",2011-06-25
11.73,17.0,Vu Thi HUONG,VIE,Palembang (INA),2011-11-12
11.73,11.0,Elisabeth SLETTUM,NOR,Oslo (NOR),2013-08-16
11.73,13.0,Hanna ADRIANSSON NORDBERG,SWE,Sundsvall (SWE),2013-07-28
11.73,9.0,Grigoria-Emmanuela KERAMIDA,GRE,Stara Zagora (BUL),2013-07-27
11.73,13.0,Annie TAGOE,GBR,Lee Valley (GBR),2013-06-05
11.73,2.0,Svea KITTNER,GER,GÃ¶ttingen (GER),2017-06-10
11.73,13.0,Torie CUNNINGHAM,USA,"Greensboro, NC (USA)",2013-05-23
11.73,2.0,Precious OKORONKWOR,NGR,Abuja (NGR),2018-03-16
11.73,0.0,Jelissa WESTNEY,CAN,Winnipeg (CAN),2011-07-09
11.73,4.0,Gabrielle MATTHEWS,JAM,Kingston (JAM),2017-03-31
11.73,17.0,Meshala MORTON,USA,"Columbia, SC (USA)",2017-04-15
11.73,0.0,Inna WEIT,GER,Wetzlar (GER),2017-05-13
11.73,19.0,Ã‰va KAPTUR,HUN,Budapest (HUN),2019-06-08
11.73,10.0,Anastasiya SOKOLOVA,RUS,Sochi (RUS),2019-05-28
11.73,10.0,Janice BABEL,NED,Tilburg (NED),2017-06-05
11.73,-21.0,Mai FUKUDA,JPN,Sagamihara (JPN),2019-05-24
11.73,15.0,Melicia MOUZZON,USA,"Greensboro, NC (USA)",2019-05-18
11.73,7.0,Paula GARCÃA,ESP,"Wichita, KS (USA)",2019-05-11
11.73,0.0,Sabrina Maria MONTEIRO PEREIRA,BRA,BraganÃ§a Paulista (BRA),2019-05-11
11.73,11.0,Ajah CRINER,USA,"Natchitoches, LA (USA)",2019-05-04
11.73,8.0,Jedah CALDWELL,USA,"Fayetteville, AR (USA)",2019-04-26
11.73,13.0,Aziza SBAITY,LBN,Doha (QAT),2019-04-22
11.73,0.0,Reabetswe MOLOI,RSA,Bloemfontein (RSA),2019-04-13
11.73,20.0,Faith GILBERT,USA,"Tuscaloosa, AL (USA)",2019-04-12
11.73,11.0,Milan PARKS,USA,"Athens, GA (USA)",2019-04-06
11.73,4.0,Kristie EDWARDS,AUS,Sydney (AUS),2019-04-06
11.73,17.0,Kaylah ROBINSON,USA,"San Diego, CA (USA)",2019-03-23
11.73,15.0,Arisa KIMISHIMA,JPN,Yokohama (JPN),2017-05-26
11.73,0.0,Yunisleydis DE LA C. GARCÃA,CUB,La Habana (CUB),2017-05-26
11.73,17.0,Sabrina GALIMBERTI,ITA,Savona (ITA),2017-05-25
11.73,18.0,Constanze DIETZSCH,GER,Zeulenroda (GER),2017-05-25
11.73,-4.0,Lucie FERAUGE,BEL,Lebbeke (BEL),2019-06-29
11.73,18.0,Brooklyn YORK,USA,"Kingsville, TX (USA)",2019-05-25
11.73,0.0,Peyton STEWART,USA,"Bloomington, IN (USA)",2015-06-06
11.73,12.0,Brittani SIMMONS,USA,"Norman, OK (USA)",2009-05-29
11.73,9.0,Sangwan JAKSUNIN,THA,Beograd (SRB),2009-07-07
11.73,20.0,Annabelle LEWIS,GBR,Birmingham (GBR),2009-07-10
11.73,-10.0,Louise BLOOR,GBR,Birmingham (GBR),2009-07-11
11.73,16.0,Myasia JACOBS,USA,"New York, NY (USA)",2009-07-11
11.73,-4.0,Jennifer BATTEN,GBR,Tampere (FIN),2009-07-21
11.73,8.0,Loudia LAARMAN,CAN,Port-of-Spain (TTO),2009-07-31
11.73,19.0,Kendall BAISDEN,USA,"Greensboro, NC (USA)",2009-07-31
11.73,7.0,Lijuan YU,CHN,Zhengzhou (CHN),2009-09-05
11.73,18.0,Caitlin SARGENT-JONES,AUS,Brisbane (AUS),2009-09-25
11.73,9.0,Bianca GRANT,USA,"Marion, IN (USA)",2012-05-25
11.73,19.0,Jordan HOYT,USA,"Tampa, FL (USA)",2012-05-05
11.73,5.0,Jessica Lynn SANCHEZ,MEX,"Irvine, CA (USA)",2012-04-29
11.73,-19.0,Darlenys OBREGÃ“N,COL,MedellÃ­n (COL),2012-04-28
11.73,3.0,Flings OWUSU-AGYAPONG,USA,"Princeton, NJ (USA)",2008-05-17
11.73,19.0,Shiho TAKAGI,JPN,Kyoto (JPN),2009-05-09
11.73,0.0,Jessica FOREMAN,USA,"Villanova, PA (USA)",2009-05-02
11.73,12.0,Amber PLOWDEN,USA,"Walnut, CA (USA)",2009-04-17
11.73,19.0,Chandrell STEPHENS,USA,"Austin, TX (USA)",2009-04-04
11.73,14.0,Carissa LEVINGSTON,USA,"Palo Alto, CA (USA)",2012-04-06
11.73,2.0,DeeDee TROTTER,USA,"Gainesville, FL (USA)",2012-04-06
11.73,18.0,Tatyana FILATOVA,RUS,Moskva (RUS),2009-06-27
11.73,14.0,Carisma LYDAY,USA,"Tucson, AZ (USA)",2012-03-31
11.73,16.0,Nastassia NAUMCHYK,BLR,Grodno (BLR),2009-06-27
11.73,7.0,Stefanie PÃ„HLER,GER,Mannheim (GER),2009-06-13
11.73,0.0,Judith ONYEPUNUKA,USA,"Tempe, AZ (USA)",2008-05-17
11.73,19.0,Margarita POGORELOV,ISR,"Bowling Green, OH (USA)",2008-05-16
11.73,-31.0,Sergine KOUGANA,CMR,Addis Abeba (ETH),2008-04-30
11.73,3.0,Gayon EVANS,JAM,Kingston (JAM),2008-03-12
11.73,11.0,Anna SMYTHE,NZL,Auckland (NZL),2008-02-19
11.73,8.0,Lia Raquel DOS SANTOS CARVALHO,BRA,"CNDA, BraganÃ§a Paulista (BRA)",2020-03-14
11.73,4.0,Autumn WILSON,USA,"Wilmer-Hutchins HS, Dallas, TX (USA)",2020-07-04
11.73,8.0,Takako NIISAKA,JPN,"Prefectural Sports Park, Miyazaki (JPN)",2020-07-18
11.73,18.0,Natalia KACZMAREK,POL,"Stadion Miejski, Jelenia GÃ³ra (POL)",2020-07-26
11.73,2.0,Sindija BUKÅ A,LAT,"Zemgales OlimpiskÄ centra Stadions, Jelgava (LAT)",2020-08-08
11.73,4.0,Manuela LEVORATO,ITA,Modena (ITA),2012-09-22
11.73,11.0,Isatu FOFANAH,CAN,Winnipeg (CAN),2012-07-27
11.73,11.0,BelÃ©n RECIO,ESP,Monachil (ESP),2012-07-14
11.73,2.0,Irene EKELUND,SWE,GÃ¶teborg (SWE),2012-07-07
11.73,16.0,Martina ÄŒERNOCHOVÃ,CZE,Praha (CZE),2012-06-23
11.73,3.0,Kyra JEFFERSON,USA,"Bloomington, IN (USA)",2012-06-15
11.73,3.0,Kataryna GANCHAR,BLR,Moskva (RUS),2012-06-11
11.73,15.0,Maria Aurora SALVAGNO,ITA,Messina (ITA),2012-05-26
11.73,-16.0,Maria KARASTAMATI,GRE,Kalamata (GRE),2009-05-30
11.73,20.0,Deanna GOODEN,USA,"Clovis, CA (USA)",2009-06-05
11.73,-29.0,Barbara DA SILVA LEONCIO,BRA,Rio de Janeiro (BRA),2009-06-26
11.73,16.0,Melissa SWANEPOEL,RSA,Germiston (RSA),2012-03-30
11.73,-2.0,Vanda FERREIRA GOMES,BRA,Cochabamba (BOL),2008-05-31
11.73,9.0,Daniela PAVEZ,CHI,Cochabamba (BOL),2008-05-31
11.73,-15.0,Frauke PENEN,BEL,Heusden-Zolder (BEL),2008-07-20
11.73,11.0,Jasmine ABRAMS,USA,"Hoschton, GA (USA)",2012-03-25
11.73,8.0,Nongnuch SANRAT,THA,Guangzhou (CHN),2010-11-21
11.73,-2.0,Eleutheria KOMPIDOU,GRE,Athina (GRE),2008-06-13
11.73,13.0,Yumi NOBAYASHI,JPN,Chiba (JPN),2010-10-02
11.73,4.0,Monika WIECZORKIEWICZ,POL,Bielsko-Biala (POL),2010-07-08
11.73,-4.0,Doris RÃ–SER,AUT,La Chaux-de-Fonds (SUI),2010-07-04
11.73,10.0,Jennifer BATTEN,GBR,Bedford (GBR),2010-06-19
11.73,14.0,Marina KISLOVA,RUS,Yerino (RUS),2010-06-11
11.73,5.0,Antonique CAMPBELL,JAM,Kingston (JAM),2010-03-26
11.73,9.0,Ruth BUSTAMANTE,DOM,Cali (COL),2008-07-04
11.73,9.0,Crystal THOMAS,JAM,Kingston (JAM),2010-06-05
11.73,7.0,Arteria STERNS,USA,"Arlington, TX (USA)",2010-05-16
11.73,11.0,Esther AKINSULIE,CAN,"Baton Rouge, LA (USA)",2010-04-17
11.73,15.0,Tenille STOUDENMIRE,USA,"Cincinnati, OH (USA)",2010-05-01
11.73,15.0,Eileen MORAN,USA,"Princeton, NJ (USA)",2010-05-08
11.73,5.0,Juanita BROADDUS,USA,"Greensboro, NC (USA)",2010-05-16
11.73,9.0,Audacia MOORE,USA,"Normal, IL (USA)",2010-05-15
11.74,20.0,Elaine O'NEILL,GBR,Loughborough (GBR),2008-07-17
11.74,-14.0,Rhonda Kaye TRUSTY,CAN,"Tempe, AZ (USA)",2010-04-09
11.74,-8.0,Mitsugi NAKAMURA,JPN,Hiroshima (JPN),2017-04-29
11.74,20.0,Kennedy HUDSON,USA,"Canyon, TX (USA)",2017-04-23
11.74,18.0,Desiree HORN,USA,"Columbia, SC (USA)",2017-04-15
11.74,11.0,Yanique THOMPSON,JAM,Kingston (JAM),2017-04-15
11.74,14.0,Natashia JACKSON,USA,"Waco, TX (USA)",2017-04-08
11.74,19.0,Kimone SHAW,JAM,Kingston (JAM),2017-03-04
11.74,-2.0,RoNecia NASH,USA,"Detroit, MI (USA)",2008-07-30
11.74,15.0,Kelly FOGARTY,USA,"Claremont, CA (USA)",2010-04-10
11.74,20.0,Teneshia PEART,CAN,"Denton, TX (USA)",2010-04-10
11.74,16.0,Rakeisha GREEN,USA,"Ruston, LA (USA)",2010-05-14
11.74,-5.0,Lan JIANG,CHN,Kunshan (CHN),2010-05-15
11.74,10.0,Jennifer MADU,USA,"Austin, TX (USA)",2010-05-15
11.74,8.0,Louise BLOOR,GBR,Bedford (GBR),2010-05-31
11.74,2.0,Monika GACHEVSKA,BUL,Sofia (BUL),2008-06-30
11.74,1.0,Giorgia CANDIANI,SUI,Lugano (SUI),2008-07-04
11.74,13.0,Jermeka MCBRIDE,BAH,"Fort Worth, TX (USA)",2017-03-18
11.74,7.0,Shelisia CRAWFORD,USA,"Charlotte, NC (USA)",2010-05-27
11.74,9.0,Michaela PERNELL,USA,"Easton, PA (USA)",2017-05-06
11.74,18.0,Whitney BRIDGES,USA,"Lawrence, KS (USA)",2017-07-27
11.74,4.0,Nicolina ALTIMARI,ITA,Rieti (ITA),2017-06-03
11.74,16.0,Shikyla WALCOTT,TTO,Port-of-Spain (TTO),2017-06-10
11.74,-3.0,Yasmin Louise WOODRUFF,PAN,"Mesa, AZ (USA)",2017-06-10
11.74,19.0,Kaho NISHIO,JPN,Hiratsuka (JPN),2017-06-10
11.74,-14.0,Lieke KLAVER,NED,"Blankers-Koen Stadion, Hengelo (NED)",2017-06-11
11.74,0.0,Kyra CONSTANTINE,CAN,Toronto (CAN),2017-06-24
11.74,7.0,Fanny APPES EKANGA,CMR,Bruxelles (BEL),2017-07-01
11.74,-27.0,Mercedes JACKSON,USA,"Hoschton, GA (USA)",2011-07-07
11.74,17.0,Monique DELL,NZL,Donnas (ITA),2011-07-03
11.74,15.0,Noelle MONTCALM,CAN,Donnas (ITA),2011-07-03
11.74,7.0,Ana Paula MACIEL CONCEIÃ‡ÃƒO,BRA,SÃ£o Paulo (BRA),2011-06-25
11.74,5.0,Cornnelly CALYDON,FRA,Antony (FRA),2011-06-25
11.74,5.0,Yariatou TOURE,FRA,Antony (FRA),2011-06-25
11.74,-2.0,Jessica PAOLETTA,ITA,Torino (ITA),2011-06-25
11.74,-6.0,Kaina MARTINEZ,BIZ,San JosÃ© (CRC),2011-06-24
11.74,1.0,Magdalena SIEMION,POL,Plock (POL),2011-06-15
11.74,17.0,Kenisha PHILLIPS,GUY,Leonora (GUY),2017-07-01
11.74,16.0,Nyoka MAXWELL,CAN,Ottawa (CAN),2017-07-06
11.74,13.0,Mai FUKUDA,JPN,Sapporo (JPN),2017-07-09
11.74,16.0,Hannah WILLIAMS,GBR,Leigh (GBR),2017-07-16
11.74,4.0,Patience JUMBO GULA,IRL,"Olimpiai Sportpark, GyÅ‘r (HUN)",2017-07-24
11.74,14.0,Diandrenique GAINES,USA,"Lawrence, KS (USA)",2017-07-27
11.74,20.0,Marlee SERRANO,USA,"Austin, TX (USA)",2017-05-13
11.74,1.0,Peli ALZOLA,TTO,"El Paso, TX (USA)",2017-05-13
11.74,0.0,Osheen ERSKINE,JAM,"Gunnison, CO (USA)",2017-05-09
11.74,17.0,Jessica Ã–STLUND,SWE,Helsingborg (SWE),2017-08-25
11.74,0.0,Latisha HOLDEN,USA,"Tucson, AZ (USA)",2013-03-16
11.74,0.0,Carolyn MOLL,GER,Regensburg (GER),2010-08-14
11.74,9.0,Olga TERYOKHINA,RUS,Cheboksary (RUS),2010-06-18
11.74,12.0,Cecilia TAMAYO-GARZA,MEX,"Philadelphia, PA (USA)",2019-04-26
11.74,18.0,Taliyah TOWNSEND,USA,"Baton Rouge, LA (USA)",2019-04-20
11.74,18.0,Quamecha MORRISON,USA,"Daytona Beach, FL (USA)",2019-03-30
11.74,1.0,Amber HUGHES,USA,"Gainesville, FL (USA)",2019-03-29
11.74,11.0,Kenyla MILES,USA,"San Diego, CA (USA)",2019-03-23
11.74,13.0,Soniya JONES,ANT,Port-of-Spain (TTO),2019-03-23
11.74,7.0,Olivia EATON,NZL,Canberra (AUS),2019-02-09
11.74,1.0,Supawan THIPAT,THA,Thunyaburi (THA),2018-01-24
11.74,9.0,Brittany BURKITT,AUS,Gold Coast (AUS),2018-02-16
11.74,-25.0,Hima DAS,IND,Patiala (IND),2018-02-27
11.74,15.0,Kyla LEWIS,USA,"Coral Gables, FL (USA)",2018-03-17
11.74,19.0,Alexis CENTER,USA,"Fort Worth, TX (USA)",2018-03-17
11.74,-16.0,Nelsibeth Carolina VILLALOBOS,VEN,ConcepciÃ³n del Uruguay (ARG),2018-03-23
11.74,6.0,Josephine ANOKYE,GHA,"Tempe, AZ (USA)",2018-04-07
11.74,0.0,Erica BOUGARD,USA,"La Jolla, CA (USA)",2018-04-14
11.74,13.0,Hafsatu KAMARA,SLE,"Irvine, CA (USA)",2018-04-28
11.74,15.0,Mallory PITCHFORD,USA,"Greensboro, NC (USA)",2018-05-04
11.74,6.0,Quashira MCINTOSH,ISV,"Lincoln, NE (USA)",2018-05-05
11.74,17.0,Tianna RANDLE,USA,"Austin, TX (USA)",2018-05-11
11.74,3.0,Neysia HOWARD,USA,"Tucson, AZ (USA)",2019-04-27
11.74,-1.0,Ebony MCCLENDON,USA,"Bloomington, IN (USA)",2018-05-12
11.74,19.0,Kana ICHIKAWA,JPN,Hiroshima (JPN),2019-04-28
11.74,15.0,Euricka HARDY,USA,"Natchitoches, LA (USA)",2019-05-04
11.74,12.0,Polina MILLER,ANA,Cheboksary (RUS),2019-08-02
11.74,11.0,N.S. SIMI,IND,Pune (IND),2019-08-20
11.74,-9.0,Hima DAS,IND,VlaÅ¡im (CZE),2019-08-30
11.74,-1.0,Panagiota VENIERI,GRE,Patra (GRE),2019-07-27
11.74,18.0,Ivanna AVRAMCHUK,UKR,Lutsk (UKR),2019-07-25
11.74,-5.0,Pernilla KRAMER,GER,Hannover (GER),2019-07-20
11.74,11.0,Niamh WHELAN,IRL,Rhede (GER),2019-07-20
11.74,16.0,Laura Raquel MÃœLLER,GER,Bremen (GER),2019-07-06
11.74,11.0,Lara GOMEZ,ESP,Tarragona (ESP),2019-06-29
11.74,15.0,Viktoriya GEORGIEVA,BUL,Sofia (BUL),2019-06-22
11.74,15.0,Kiriaki SAMANI,GRE,Thessaloniki (GRE),2019-06-16
11.74,11.0,Franziska SCHUSTER,GER,Rehlingen (GER),2019-06-09
11.74,19.0,Ingvild MEINSETH,NOR,Skara (SWE),2019-06-06
11.74,11.0,Sefia BRIGHT,GHA,"Gulf Shores, AL (USA)",2019-05-25
11.74,-15.0,Yana KACHUR,UKR,Kiev (UKR),2019-05-21
11.74,-1.0,Kimone SHAW,JAM,Kingston (JAM),2019-05-18
11.74,10.0,Jada ROBERSON,USA,"Charlotte, NC (USA)",2019-05-11
11.74,13.0,Tomomi YANAGIYA,JPN,Kyoto (JPN),2019-05-10
11.74,7.0,Michaela FRANCOIS,USA,"Austin, TX (USA)",2019-05-10
11.74,7.0,LaSarah HARGROVE,USA,"Jacksonville, FL (USA)",2019-05-04
11.74,-5.0,Flings OWUSU-AGYAPONG,USA,Toronto (CAN),2010-06-12
11.74,5.0,Ashley LEWIS,USA,"Palo Alto, CA (USA)",2018-05-12
11.74,12.0,Bianca ACOSTA,ESP,Ciudad Real (ESP),2018-05-26
11.74,11.0,Filippa FOTOPOULOU,CYP,Lefkosia (CYP),2016-06-18
11.74,1.0,Xuan WANG,CHN,Chongqing (CHN),2016-06-18
11.74,0.0,Yekaterina SMIRNOVA,RUS,Cheboksary (RUS),2016-06-20
11.74,4.0,Marecia PEMBERTON,SKN,Port-of-Spain (TTO),2016-06-24
11.74,7.0,MaÅ‚gorzata KOÅDEJ,POL,Bydgoszcz (POL),2016-06-24
11.74,-11.0,Lenka KRÅ ÃKOVÃ,SVK,BanskÃ¡ Bystrica (SVK),2016-06-25
11.74,10.0,Sophie YORKE,GBR,Mannheim (GER),2016-06-25
11.74,-9.0,Kenesha STEPHENS,JAM,Kingston (JAM),2016-07-01
11.74,6.0,Sarah RICHARD MINGAS,FRA,Chateauroux (FRA),2016-07-01
11.74,15.0,Laurane NAVILYS MONTJEAN,FRA,Chateauroux (FRA),2016-07-01
11.74,-4.0,Lara GOMEZ,ESP,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",2016-07-20
11.74,8.0,Vivien Fanny SCHMELCZ,HUN,Budapest (HUN),2016-07-22
11.74,15.0,Kamila CIBA,POL,Jelenia GÃ³ra (POL),2016-07-30
11.74,12.0,Manon DEPUYDT,BEL,Huizingen (BEL),2016-08-06
11.74,8.0,Tabia CHARLES,CAN,Toronto (CAN),2008-06-14
11.74,13.0,Emilie GAYDU,FRA,Niort (FRA),2010-07-16
11.74,16.0,Svitlana HONCHAROVA,UKR,Donetsk (UKR),2010-07-01
11.74,8.0,Jiaqian ZHENG,CHN,Chongqing (CHN),2010-06-26
11.74,6.0,Tunrayo NUBI,GBR,Birmingham (GBR),2010-06-25
11.74,14.0,Andriana FERRA,GRE,Patra (GRE),2016-06-18
11.74,15.0,Thai WILLIAMS,USA,"Sacramento, CA (USA)",2018-05-24
11.74,12.0,Annabelle LEWIS,GBR,Manchester (GBR),2016-06-11
11.74,-9.0,Sandra AKACHUKWU,USA,"Murfreesboro, TN (USA)",2016-05-15
11.74,18.0,Ekaterini SARRI,GRE,Vari (GRE),2018-05-26
11.74,14.0,Denise UPHOFF,GER,Fulda (GER),2018-06-09
11.74,3.0,Cassie-Ann PEMBERTON,GBR,Bedford (GBR),2018-06-16
11.74,15.0,Maboundou KONÃ‰,CIV,Cergy-Pontoise (FRA),2018-06-23
11.74,19.0,Olga LYAKHOVENKO,RUS,Kazan (RUS),2018-07-19
11.74,9.0,Laetitia ETIA SAME,FRA,Bondoufle (FRA),2018-07-20
11.74,-10.0,Pauline Tobechukwu UGBO,NGR,Abuja (NGR),2018-12-12
11.74,8.0,Kemba NELSON,JAM,Kingston (JAM),2016-03-18
11.74,19.0,Jean-Marie VERMEULEN,RSA,Germiston (RSA),2016-03-31
11.74,11.0,Cassidy WILLIAMSON,RSA,Germiston (RSA),2016-03-31
11.74,13.0,Isabela MACEDO SILVA,BRA,Sao Bernardo do Campo (BRA),2016-04-15
11.74,9.0,Romina Michelle CIFUENTES,ECU,Quito (ECU),2016-04-16
11.74,3.0,Haisha BISIOIU,NGR,"Louisville, KY (USA)",2016-04-23
11.74,-3.0,Christy UDOH,NGR,"Waco, TX (USA)",2016-04-23
11.74,13.0,Asia STINSON,USA,Mt. Pleasant (USA),2016-04-23
11.74,0.0,Ama PIPI,GBR,"Palo Alto, CA (USA)",2016-05-01
11.74,-10.0,Bethany WHITE,USA,"Greensboro, NC (USA)",2016-05-07
11.74,13.0,Tianna VALENTINE,USA,"Fort Worth, TX (USA)",2016-05-14
11.74,4.0,Sherry FLETCHER,GRN,"Greensboro, NC (USA)",2016-05-15
11.74,11.0,Diani WALKER,GBR,Newham (GBR),2016-05-25
11.74,11.0,Martina DOSTÃLOVÃ,CZE,Praha (CZE),2008-06-07
11.74,16.0,Annalisa SPADOTTO SCOTT,ITA,Bressanone (ITA),2019-07-27
11.74,10.0,Jodyann POWELL,JAM,"Walnut, CA (USA)",2008-05-24
11.74,8.0,Moriah JUBREY,USA,"San Angelo, TX (USA)",2009-05-21
11.74,19.0,ChrisDell HARRIS,USA,"Cedar City, UT (USA)",2009-05-16
11.74,18.0,Mandy WHITE,USA,"Eugene, OR (USA)",2009-05-16
11.74,18.0,Amber EVANS,USA,"Denton, TX (USA)",2009-04-30
